"termid","lab_year","n_record","n_patient","distancetoroot","label"
"HP:0012415",2003,318700,22355,3,"Abnormal blood gas level"
"HP:0003111",2003,459922,31204,3,"Abnormal blood ion concentration"
"HP:0031409",2003,3908,986,3,"Abnormal lymphocyte physiology"
"HP:0011014",2003,152448,23439,3,"Abnormal glucose homeostasis"
"HP:0031209",2003,1093,541,3,"Decreased lipoprotein lipase level"
"HP:0020061",2003,369910,38690,3,"Abnormal hemoglobin concentration"
"HP:0025132",2003,18,16,3,"Abnormal circulating estrogen level"
"HP:0012111",2003,956,427,3,"Abnormality of circulating glucocorticoid level"
"HP:0004370",2003,1,1,3,"Abnormality of temperature regulation"
"HP:0031508",2003,2873,1247,3,"Abnormal thyroid hormone level"
"HP:0045040",2003,77463,11154,3,"Abnormal lactate dehydrogenase level"
"HP:0012591",2003,514,250,3,"Abnormal urinary electrolyte concentration"
"HP:0020058",2003,344920,34822,3,"Abnormal red blood cell count"
"HP:0012614",2003,1826,1546,3,"Abnormal urine cytology"
"HP:0002904",2003,86514,7622,3,"Hyperbilirubinemia"
"HP:0020129",2003,1363,664,3,"Abnormal urine protein level"
"HP:0025546",2003,193825,30024,3,"Abnormal mean corpuscular hemoglobin concentration"
"HP:0004312",2003,6191,1996,3,"Abnormal reticulocyte morphology"
"HP:0003256",2003,142787,14721,3,"Abnormality of the coagulation cascade"
"HP:0004360",2003,144223,6333,3,"Abnormality of acid-base homeostasis"
"HP:0100508",2003,4155,1971,3,"Abnormality of vitamin metabolism"
"HP:0500020",2003,10748,1982,3,"Abnormal cardiac biomarker test"
"HP:0011043",2003,283,46,3,"Abnormality of circulating adrenocorticotropin level"
"HP:0410172",2003,78,29,3,"Blood xenobiotic"
"HP:0001882",2003,353489,32262,4,"Leukopenia"
"HP:0020062",2003,363562,36610,4,"Decreased hemoglobin concentration"
"HP:0012592",2003,585,309,4,"Albuminuria"
"HP:0012443",2003,6436,2633,4,"Abnormality of brain morphology"
"HP:0001894",2003,26233,4158,4,"Thrombocytosis"
"HP:0025066",2003,55062,10567,4,"Decreased mean corpuscular volume"
"HP:0032368",2003,25204,2954,4,"Acidemia"
"HP:0410042",2003,101018,10218,4,"Abnormal liver morphology"
"HP:0003112",2003,542,316,4,"Abnormality of serum amino acid level"
"HP:0032309",2003,478069,40376,4,"Abnormal granulocyte count"
"HP:0010990",2003,8281,2027,4,"Abnormality of the common coagulation pathway"
"HP:0012116",2003,161136,14025,4,"Abnormal albumin level"
"HP:0031029",2003,657,258,4,"Elevated carcinoembryonic antigen level"
"HP:0003077",2003,12589,4863,4,"Hyperlipidemia"
"HP:0002843",2003,13023,1746,4,"Abnormal T cell morphology"
"HP:0001873",2003,112097,11023,4,"Thrombocytopenia"
"HP:0011747",2003,141,81,4,"Abnormality of the anterior pituitary"
"HP:0001896",2003,959,491,4,"Reticulocytopenia"
"HP:0031213",2003,42,15,4,"Elevated circulating 17-hydroxyprogesterone"
"HP:0031097",2003,6295,2561,4,"Abnormal thyroid-stimulating hormone level"
"HP:0410283",2003,78,29,4,"Positive blood acetaminophen test"
"HP:0410282",2003,6900,991,4,"Abnormal circulating amylase level"
"HP:0003075",2003,53827,6989,4,"Hypoproteinemia"
"HP:0001911",2003,478069,40376,4,"Abnormal granulocyte morphology"
"HP:0010929",2003,317387,27507,4,"Abnormal blood cation concentration"
"HP:0031890",2003,918,798,4,"Increased urine urobilinogen"
"HP:0003573",2003,53308,7535,4,"Increased total bilirubin"
"HP:0410173",2003,10746,1982,4,"Increased troponin I level in blood"
"HP:0040133",2003,4496,2214,4,"Abnormal serum ferritin"
"HP:0025133",2003,18,16,4,"Abnormal serum estradiol"
"HP:0031505",2003,2873,1247,4,"Abnormal circulating thyroxine level"
"HP:0031085",2003,5927,3005,4,"Decreased prealbumin level"
"HP:0001941",2003,24085,3103,4,"Acidosis"
"HP:0004340",2003,4155,1971,4,"Abnormality of vitamin B metabolism"
"HP:0000846",2003,399,162,4,"Adrenal insufficiency"
"HP:0000837",2003,20,13,4,"Increased circulating gonadotropin level"
"HP:0004369",2003,4519,1112,4,"Decreased purine level"
"HP:0040217",2003,5130,2964,4,"Elevated hemoglobin A1c"
"HP:0030057",2003,506,303,4,"Autoimmune antibody positivity"
"HP:0012603",2003,89,79,4,"Abnormal urine sodium concentration"
"HP:0012085",2003,1826,1546,4,"Pyuria"
"HP:0011905",2003,30,25,4,"Reduced hemoglobin A"
"HP:0025548",2003,93296,15962,4,"Increased mean corpuscular hemoglobin concentration"
"HP:0032369",2003,49904,4335,4,"Alkalemia"
"HP:0012200",2003,134084,14053,4,"Abnormality of prothrombin"
"HP:0031970",2003,187497,21710,4,"Abnormal blood urea nitrogen concentration"
"HP:0045056",2003,1684,639,4,"Abnormal levels of alpha-fetoprotein"
"HP:0010701",2003,3908,986,4,"Abnormal immunoglobulin level"
"HP:0005372",2003,3908,986,4,"Abnormality of B cell physiology"
"HP:0001923",2003,5232,1600,4,"Reticulocytosis"
"HP:0001899",2003,2413,999,4,"Increased hematocrit"
"HP:0020059",2003,4650,2121,4,"Increased red blood cell count"
"HP:0500165",2003,109724,6071,4,"Abnormal blood oxygen level"
"HP:0002717",2003,557,282,4,"Adrenal overactivity"
"HP:0032436",2003,1938,1156,4,"Abnormal C-reactive protein level"
"HP:0011280",2003,364,171,4,"Abnormality of urine calcium concentration"
"HP:0003282",2003,1125,429,4,"Low alkaline phosphatase"
"HP:0012611",2003,16,14,4,"Increased urinary urate"
"HP:0011731",2003,956,427,4,"Abnormality of circulating cortisol level"
"HP:0012072",2003,1,1,4,"Aciduria"
"HP:0030339",2003,104,55,4,"Decreased circulating gonadotropin level"
"HP:0005537",2003,66549,10349,4,"Decreased mean platelet volume"
"HP:0100493",2003,200,60,4,"Hypoammonemia"
"HP:0500164",2003,208976,21797,4,"Abnormal blood carbon dioxide level"
"HP:0003154",2003,227,28,4,"Increased circulating ACTH level"
"HP:0011021",2003,46018,6454,4,"Abnormality of circulating enzyme level"
"HP:0030269",2003,4,1,4,"Increased serum insulin-like growth factor 1"
"HP:0032065",2003,45030,3546,4,"Abnormal serum bicarbonate concentration"
"HP:0001945",2003,1,1,4,"Fever"
"HP:0005518",2003,33853,5341,4,"Increased mean corpuscular volume"
"HP:0003155",2003,82667,13255,4,"Elevated alkaline phosphatase"
"HP:0005339",2003,665,207,4,"Abnormality of complement system"
"HP:0040088",2003,290105,28696,4,"Abnormal lymphocyte count"
"HP:0011422",2003,94185,15267,4,"Abnormal blood chloride concentration"
"HP:0011877",2003,32601,6919,4,"Increased mean platelet volume"
"HP:0030794",2003,160,96,4,"Abnormal C-peptide level"
"HP:0002920",2003,56,21,4,"Decreased circulating ACTH level"
"HP:0025547",2003,100529,15546,4,"Decreased mean corpuscular hemoglobin concentration"
"HP:0012598",2003,61,32,4,"Abnormal urine potassium concentration"
"HP:0003107",2003,27158,8262,4,"Abnormal circulating cholesterol concentration"
"HP:0032146",2003,64,59,4,"HbC hemoglobin"
"HP:0004368",2003,5969,1917,4,"Increased purine level"
"HP:0030346",2003,53,42,4,"Abnormal circulating follicle-stimulating hormone level"
"HP:0000843",2003,2425,916,4,"Hyperparathyroidism"
"HP:0002157",2003,228330,12748,4,"Azotemia"
"HP:0000829",2003,252,103,4,"Hypoparathyroidism"
"HP:0031851",2003,413684,36099,4,"Reduced hematocrit"
"HP:0025435",2003,77463,11154,4,"Increased lactate dehydrogenase level"
"HP:0002921",2003,3073,659,4,"Abnormality of the cerebrospinal fluid"
"HP:0012100",2003,159817,14883,4,"Abnormal circulating creatinine level"
"HP:0001900",2003,307,89,4,"Increased hemoglobin"
"HP:0012144",2003,128560,19411,4,"Abnormality monocyte morphology"
"HP:0011015",2003,152448,23439,4,"Abnormal blood glucose concentration"
"HP:0010989",2003,422,243,4,"Abnormality of the intrinsic pathway"
"HP:0020060",2003,340270,33226,4,"Decreased red blood cell count"
"HP:0020063",2003,6348,2830,4,"Increased hemoglobin concentration"
"HP:0001974",2003,167285,25206,4,"Leukocytosis"
"HP:0000093",2003,778,367,4,"Proteinuria"
"HP:0002152",2003,9942,3478,4,"Hyperproteinemia"
"HP:0032179",2003,78,43,4,"Abnormal circulating globulin level"
"HP:0012310",2003,128560,19411,4,"Abnormal monocyte count"
"HP:0010988",2003,52,50,4,"Abnormality of the extrinsic pathway"
"HP:0100529",2003,48350,7224,4,"Abnormal blood phosphate concentration"
"HP:0030345",2003,71,50,4,"Abnormal circulating luteinizing hormone level"
"HP:0011904",2003,393,189,4,"Persistence of hemoglobin F"
"HP:0011935",2003,33,20,4,"Decreased urinary urate"
"HP:0410174",2003,2,1,4,"Increased troponin T level in blood"
"HP:0045014",2003,2,1,4,"Hypolipidemia"
"HP:0032199",2003,134084,14053,5,"Abnormal prothrombin time"
"HP:0011898",2003,8242,2019,5,"Abnormality of circulating fibrinogen"
"HP:0011030",2003,21962,4919,5,"Abnormal blood transition element cation concentration"
"HP:0002155",2003,12589,4863,5,"Hypertriglyceridemia"
"HP:0001912",2003,11543,4654,5,"Abnormal basophil morphology"
"HP:0012418",2003,35826,3142,5,"Hypoxemia"
"HP:0025454",2003,840,228,5,"Abnormal CSF metabolite level"
"HP:0008163",2003,399,162,5,"Decreased circulating cortisol level"
"HP:0045057",2003,352,223,5,"Decreased levels of alpha-fetoprotein"
"HP:0008232",2003,14,12,5,"Elevated circulating follicle stimulating hormone level"
"HP:0002923",2003,430,234,5,"Rheumatoid factor positive"
"HP:0040075",2003,5,3,5,"Hypopituitarism"
"HP:0030795",2003,112,62,5,"Reduced C-peptide level"
"HP:0020064",2003,184070,32145,5,"Abnormal eosinophil count"
"HP:0010979",2003,16108,6621,5,"Abnormality of lipoprotein cholesterol concentration"
"HP:0003074",2003,138243,19925,5,"Hyperglycemia"
"HP:0011969",2003,6,5,5,"Elevated circulating luteinizing hormone level"
"HP:0001888",2003,270537,24847,5,"Lymphopenia"
"HP:0003081",2003,3,2,5,"Increased urinary potassium"
"HP:0003537",2003,4519,1112,5,"Hypouricemia"
"HP:0011991",2003,282456,30623,5,"Abnormal neutrophil count"
"HP:0011423",2003,53441,10471,5,"Hyperchloremia"
"HP:0004431",2003,665,207,5,"Complement deficiency"
"HP:0032066",2003,12296,1686,5,"Decreased serum bicarbonate concentration"
"HP:0010927",2003,136676,13609,5,"Abnormal blood inorganic cation concentration"
"HP:0031899",2003,39,23,5,"Abnormal coagulation factor V activity"
"HP:0003124",2003,6214,2855,5,"Hypercholesterolemia"
"HP:0012416",2003,69356,8362,5,"Hypercapnia"
"HP:0031806",2003,11543,4654,5,"Abnormal basophil count"
"HP:0030976",2003,370,200,5,"Abnormal factor VIII activity"
"HP:0001879",2003,184070,32145,5,"Abnormal eosinophil morphology"
"HP:0410289",2003,3100,455,5,"Hypoamylasemia"
"HP:0025465",2003,78,43,5,"Abnormal circulating beta globulin level"
"HP:0025456",2003,2233,623,5,"Abnormal CSF protein level"
"HP:0003281",2003,3348,1561,5,"Increased serum ferritin"
"HP:0032069",2003,76,70,5,"Anti-thyroglobulin antibody positivity"
"HP:0004341",2003,322,218,5,"Abnormality of vitamin B12 metabolism"
"HP:0012594",2003,585,309,5,"Microalbuminuria"
"HP:0003127",2003,286,137,5,"Hypocalciuria"
"HP:0012117",2003,679,283,5,"Hyperalbuminemia"
"HP:0410288",2003,3800,577,5,"Hyperamylasemia"
"HP:0025134",2003,18,16,5,"Increased serum estradiol"
"HP:0004339",2003,542,316,5,"Abnormal circulating sulfur amino acid concentration"
"HP:0010514",2003,136,78,5,"Hyperpituitarism"
"HP:0003138",2003,112417,9262,5,"Increased blood urea nitrogen"
"HP:0002150",2003,78,38,5,"Hypercalciuria"
"HP:0012364",2003,58,30,5,"Decreased urinary potassium"
"HP:0040081",2003,46018,6454,5,"Abnormal circulating creatine kinase concentration"
"HP:0012335",2003,3833,1846,5,"Abnormality of folate metabolism"
"HP:0012419",2003,73898,5044,5,"Hyperoxemia"
"HP:0001880",2003,21099,4270,5,"Eosinophilia"
"HP:0002151",2003,24085,3103,5,"Increased serum lactate"
"HP:0002905",2003,22993,3831,5,"Hyperphosphatemia"
"HP:0010702",2003,2012,714,5,"Increased circulating antibody level"
"HP:0002149",2003,5969,1917,5,"Hyperuricemia"
"HP:0001874",2003,282456,30623,5,"Abnormality of neutrophils"
"HP:0012312",2003,38464,6309,5,"Monocytopenia"
"HP:0012343",2003,1148,662,5,"Decreased serum ferritin"
"HP:0012605",2003,23,21,5,"Hypernatriuria"
"HP:0012417",2003,139620,16832,5,"Hypocapnia"
"HP:0030344",2003,65,45,5,"Decreased circulating luteinizing hormone level"
"HP:0008207",2003,399,162,5,"Primary adrenal insufficiency"
"HP:0003113",2003,40744,6402,5,"Hypochloremia"
"HP:0001943",2003,14205,6101,5,"Hypoglycemia"
"HP:0410243",2003,882,342,5,"Abnormal circulating IgM level"
"HP:0011227",2003,1938,1156,5,"Elevated C-reactive protein level"
"HP:0003146",2003,4836,1915,5,"Hypocholesterolemia"
"HP:0002148",2003,25357,4649,5,"Hypophosphatemia"
"HP:0030341",2003,39,30,5,"Decreased circulating follicle stimulating hormone level"
"HP:0001987",2003,2367,454,5,"Hyperammonemia"
"HP:0001992",2003,1,1,5,"Organic aciduria"
"HP:0012311",2003,90096,15781,5,"Monocytosis"
"HP:0010930",2003,158749,22941,5,"Abnormal blood monovalent inorganic cation concentration"
"HP:0100827",2003,19568,5663,5,"Lymphocytosis"
"HP:0032067",2003,32734,2512,5,"Elevated serum bicarbonate concentration"
"HP:0002910",2003,101018,10218,5,"Elevated hepatic transaminase"
"HP:0003259",2003,103058,8579,5,"Elevated serum creatinine"
"HP:0006254",2003,1332,416,5,"Elevated alpha-fetoprotein"
"HP:0031507",2003,1193,566,5,"Decreased circulating thyroxine level"
"HP:0031969",2003,75080,13680,5,"Reduced blood urea nitrogen"
"HP:0003118",2003,557,282,5,"Increased circulating cortisol level"
"HP:0003073",2003,160457,13816,5,"Hypoalbuminemia"
"HP:0030796",2003,48,34,5,"Increased C-peptide level"
"HP:0012101",2003,56759,6945,5,"Decreased serum creatinine"
"HP:0012604",2003,66,58,5,"Hyponatriuria"
"HP:0011839",2003,13023,1746,5,"Abnormal T cell count"
"HP:0410242",2003,1595,659,5,"Abnormal circulating IgG level"
"HP:0031098",2003,2239,1054,5,"Decreased thyroid-stimulating hormone level"
"HP:0410240",2003,1414,586,5,"Abnormal circulating IgA level"
"HP:0001976",2003,52,50,5,"Reduced antithrombin III activity"
"HP:0002925",2003,4056,1627,5,"Increased thyroid-stimulating hormone level"
"HP:0032336",2003,17,5,5,"Increased circulating specific IgE antibody"
"HP:0031506",2003,1680,733,5,"Increased circulating thyroxine level"
"HP:0012153",2003,2,1,5,"Hypotriglyceridemia"
"HP:0004313",2003,1879,395,5,"Decreased circulating antibody level"
"HP:0031807",2003,11543,4654,6,"Increased basophil count"
"HP:0008151",2003,128609,9925,6,"Prolonged prothrombin time"
"HP:0010919",2003,542,316,6,"Abnormal circulating homocysteine concentration"
"HP:0032236",2003,10624,2241,6,"Increased circulating immature neutrophil count"
"HP:0003225",2003,35,21,6,"Reduced coagulation factor V activity"
"HP:0003236",2003,31430,6261,6,"Elevated serum creatine kinase"
"HP:0011042",2003,102337,18308,6,"Abnormal blood potassium concentration"
"HP:0410221",2003,5,4,6,"Increased anti-animal protein IgE antibody level"
"HP:0410238",2003,9,4,6,"Increased anti-plant product IgE antibody level"
"HP:0031964",2003,44672,6788,6,"Elevated serum alanine aminotransferase"
"HP:0004363",2003,118443,12267,6,"Abnormal circulating calcium concentration"
"HP:0010931",2003,56412,12683,6,"Abnormal blood sodium concentration"
"HP:0031886",2003,11231,5200,6,"Abnormal LDL cholesterol concentration"
"HP:0011900",2003,2134,478,6,"Hypofibrinogenemia"
"HP:0030977",2003,247,147,6,"Increased factor VIII activity"
"HP:0040126",2003,322,218,6,"Abnormal vitamin B12 level"
"HP:0000870",2003,116,65,6,"Increased circulating prolactin concentration"
"HP:0011996",2003,4,2,6,"Elevated coagulation factor V activity"
"HP:0032232",2003,14588,3100,6,"Increased circulating creatine kinase MB isoform"
"HP:0011897",2003,233259,25505,6,"Neutrophilia"
"HP:0410235",2003,3,3,6,"Increased anti-insect IgE antibody level"
"HP:0003125",2003,123,58,6,"Reduced factor VIII activity"
"HP:0002720",2003,720,226,6,"Decreased circulating IgA level"
"HP:0011031",2003,21962,4919,6,"Abnormality of iron homeostasis"
"HP:0004315",2003,653,231,6,"Decreased circulating IgG level"
"HP:0032385",2003,78,43,6,"Abnormal circulating transferrin level"
"HP:0045042",2003,275,124,6,"Decreased serum complement C4"
"HP:0002850",2003,506,167,6,"Decreased circulating total IgM"
"HP:0040087",2003,3833,1846,6,"Abnormal blood folate concentration"
"HP:0000830",2003,5,3,6,"Anterior hypopituitarism"
"HP:0031956",2003,56346,8470,6,"Elevated serum aspartate aminotransferase"
"HP:0032198",2003,5475,4547,6,"Decreased prothrombin time"
"HP:0010980",2003,4647,2394,6,"Hyperlipoproteinemia"
"HP:0031884",2003,840,228,6,"Abnormal CSF glucose level"
"HP:0031888",2003,4877,2337,6,"Abnormal HDL cholesterol concentration"
"HP:0025457",2003,142,68,6,"Decreased CSF protein"
"HP:0025540",2003,13023,1746,6,"Abnormal T cell subset distribution"
"HP:0005421",2003,390,176,6,"Decreased serum complement C3"
"HP:0003261",2003,694,360,6,"Increased circulating IgA level"
"HP:0001875",2003,38573,6887,6,"Neutropenia"
"HP:0004921",2003,18233,4774,6,"Abnormal magnesium concentration"
"HP:0003237",2003,942,435,6,"Increased circulating IgG level"
"HP:0003496",2003,376,178,6,"Increased circulating IgM level"
"HP:0003159",2003,1,1,6,"Hyperoxaluria"
"HP:0031891",2003,162971,29548,6,"Decreased eosinophil count"
"HP:0005403",2003,13023,1746,6,"Decrease in T cell count"
"HP:0010981",2003,11461,4450,6,"Hypolipoproteinemia"
"HP:0011899",2003,6108,1632,6,"Hyperfibrinogenemia"
"HP:0002922",2003,2091,572,6,"Increased CSF protein"
"HP:0011972",2003,180,54,7,"Hypoglycorrhachia"
"HP:0003072",2003,4426,1112,7,"Hypercalcemia"
"HP:0002901",2003,114017,11700,7,"Hypocalcemia"
"HP:0002153",2003,53792,12053,7,"Hyperkalemia"
"HP:0012184",2003,92,47,7,"Increased HDL cholesterol concentration"
"HP:0003233",2003,4785,2291,7,"Decreased HDL cholesterol concentration"
"HP:0003563",2003,6676,2903,7,"Decreased LDL cholesterol concentration"
"HP:0002900",2003,48545,9636,7,"Hypokalemia"
"HP:0003141",2003,4555,2353,7,"Increased LDL cholesterol concentration"
"HP:0003228",2003,10946,3343,7,"Hypernatremia"
"HP:0032237",2003,4886,1643,7,"Increased circulating myelocyte count"
"HP:0032238",2003,5738,1825,7,"Increased circulating metamyelocyte count"
"HP:0031885",2003,660,185,7,"Hyperglycorrhachia"
"HP:0032164",2003,3775,1806,7,"Increased blood folate concentration"
"HP:0040130",2003,14739,4049,7,"Abnormal serum iron concentration"
"HP:0032296",2003,23,12,7,"Increased circulating IgG subclass"
"HP:0005415",2003,107,69,7,"Decreased proportion of CD8-positive T cells"
"HP:0100507",2003,58,43,7,"Reduced blood folate concentration"
"HP:0032387",2003,76,42,7,"Reduced transferrin level"
"HP:0005407",2003,12916,1732,7,"Decreased proportion of CD4-positive helper T cells"
"HP:0040086",2003,5,3,7,"Abnormal prolactin level"
"HP:0002918",2003,10062,3035,7,"Hypermagnesemia"
"HP:0032135",2003,54,20,7,"Decreased circulating IgG subclass level"
"HP:0031393",2003,107,69,7,"Abnormal proportion of CD8-positive T cells"
"HP:0025196",2003,1681,915,7,"Increased total iron binding capacity"
"HP:0002917",2003,8171,2182,7,"Hypomagnesemia"
"HP:0500267",2003,12916,1732,7,"Abnormal proportion of CD4-positive helper T cells"
"HP:0002902",2003,45466,10550,7,"Hyponatremia"
"HP:0100502",2003,322,218,7,"Vitamin B12 deficiency"
"HP:0002160",2003,542,316,7,"Hyperhomocystinemia"
"HP:0410247",2003,4,4,7,"Increased anti-animal dander IgE antibody level"
"HP:0032386",2003,2,1,7,"Elevated transferrin level"
"HP:0032299",2003,4,2,8,"Increased circulating IgG2 level"
"HP:0008348",2003,22,11,8,"Decreased circulating IgG2 level"
"HP:0003452",2003,2196,786,8,"Increased serum iron"
"HP:0032136",2003,16,9,8,"Decreased circulating IgG1 level"
"HP:0032137",2003,16,10,8,"Decreased circulating IgG3 level"
"HP:0032298",2003,19,12,8,"Increased circulating IgG1 level"
"HP:0040303",2003,12543,3412,8,"Decreased serum iron"
"HP:0008202",2003,5,3,8,"Reduced circulating prolactin concentration"
"HP:0000118",2004,5915207,68152,0,"Phenotypic abnormality"
"HP:0001871",2004,3522856,61036,1,"Abnormality of blood and blood-forming tissues"
"HP:0002086",2004,337754,21572,1,"Abnormality of the respiratory system"
"HP:0000818",2004,15393,4906,1,"Abnormality of the endocrine system"
"HP:0000119",2004,3521,2054,1,"Abnormality of the genitourinary system"
"HP:0000707",2004,9958,3293,1,"Abnormality of the nervous system"
"HP:0025031",2004,111230,9788,1,"Abnormality of the digestive system"
"HP:0025354",2004,4337,1096,1,"Abnormal cellular phenotype"
"HP:0001626",2004,11337,2026,1,"Abnormality of the cardiovascular system"
"HP:0002715",2004,1208683,45942,1,"Abnormality of the immune system"
"HP:0001939",2004,1912395,47302,1,"Abnormality of metabolism/homeostasis"
"HP:0032180",2004,1295975,41920,2,"Abnormal circulating metabolite concentration"
"HP:0001877",2004,1792407,52199,2,"Abnormal erythrocyte morphology"
"HP:0003110",2004,3521,2054,2,"Abnormality of urine homeostasis"
"HP:0010978",2004,5476,1455,2,"Abnormality of immune system physiology"
"HP:0001928",2004,274981,16395,2,"Abnormality of coagulation"
"HP:0032245",2004,126,100,2,"Abnormal metabolism"
"HP:0001872",2004,252261,22287,2,"Abnormal thrombocyte morphology"
"HP:0012639",2004,9958,3293,2,"Abnormal nervous system morphology"
"HP:0000834",2004,1486,566,2,"Abnormality of the adrenal glands"
"HP:0025021",2004,7731,3080,2,"Abnormal erythrocyte sedimentation rate"
"HP:0012337",2004,318492,22967,2,"Abnormal homeostasis"
"HP:0011017",2004,4337,1096,2,"Abnormal cellular physiology"
"HP:0500015",2004,11337,2026,2,"Abnormal cardiac test"
"HP:0032251",2004,1203207,45611,2,"Abnormal immune system morphology"
"HP:0000079",2004,3521,2054,2,"Abnormality of the urinary system"
"HP:0001881",2004,1203207,45611,2,"Abnormal leukocyte morphology"
"HP:0000828",2004,2517,904,2,"Abnormality of the parathyroid gland"
"HP:0010932",2004,10285,2917,2,"Abnormal circulating nucleobase concentration"
"HP:0000820",2004,3797,1605,2,"Abnormality of the thyroid gland"
"HP:0002012",2004,111230,9788,2,"Abnormality of the abdominal organs"
"HP:0012379",2004,282136,21827,2,"Abnormal enzyme/coenzyme activity"
"HP:0002795",2004,337754,21572,2,"Functional respiratory abnormality"
"HP:0000864",2004,6855,2730,2,"Abnormality of the hypothalamus-pituitary axis"
"HP:0003117",2004,6058,2288,2,"Abnormal circulating hormone level"
"HP:0008373",2004,51,31,2,"Puberty and gonadal disorders"
"HP:0031838",2004,77,24,2,"Presence of xenobiotic"
"HP:0004312",2004,7334,2101,3,"Abnormal reticulocyte morphology"
"HP:0001392",2004,111230,9788,3,"Abnormality of the liver"
"HP:0020061",2004,377887,34517,3,"Abnormal hemoglobin concentration"
"HP:0011767",2004,2517,904,3,"Abnormality of the parathyroid physiology"
"HP:0025065",2004,88628,14235,3,"Abnormal mean corpuscular volume"
"HP:0005368",2004,4958,1236,3,"Abnormality of humoral immunity"
"HP:0011902",2004,6053,3513,3,"Abnormal hemoglobin"
"HP:0011893",2004,1203207,45611,3,"Abnormal leukocyte count"
"HP:0045040",2004,110401,14340,3,"Abnormal lactate dehydrogenase level"
"HP:0004332",2004,314555,25475,3,"Abnormal lymphocyte morphology"
"HP:0002926",2004,3797,1605,3,"Abnormality of thyroid physiology"
"HP:0002960",2004,518,294,3,"Autoimmunity"
"HP:0020058",2004,366309,32592,3,"Abnormal red blood cell count"
"HP:0003645",2004,110534,10669,3,"Prolonged partial thromboplastin time"
"HP:0031212",2004,19,9,3,"Abnormal circulating progesterone level"
"HP:0004364",2004,384462,24391,3,"Abnormal circulating nitrogen compound concentration"
"HP:0002904",2004,96396,6804,3,"Hyperbilirubinemia"
"HP:0030948",2004,80856,8115,3,"Elevated gamma-glutamyltransferase level"
"HP:0032943",2004,1,1,3,"Abnormal urine pH"
"HP:0003565",2004,7731,3080,3,"Elevated erythrocyte sedimentation rate"
"HP:0012591",2004,385,185,3,"Abnormal urinary electrolyte concentration"
"HP:0031215",2004,80,56,3,"Decreased circulating dehydroepiandrosterone-sulfate level"
"HP:0012610",2004,37,32,3,"Abnormality of urinary uric acid concentration"
"HP:0031965",2004,312038,24755,3,"Increased RBC distribution width"
"HP:0004360",2004,161140,7373,3,"Abnormality of acid-base homeostasis"
"HP:0010974",2004,671992,39832,3,"Abnormal myeloid leukocyte morphology"
"HP:0020129",2004,1784,802,3,"Abnormal urine protein level"
"HP:0012415",2004,337754,21572,3,"Abnormal blood gas level"
"HP:0004379",2004,90010,12492,3,"Abnormality of alkaline phosphatase level"
"HP:0031409",2004,4337,1096,3,"Abnormal lymphocyte physiology"
"HP:0500020",2004,11337,2026,3,"Abnormal cardiac biomarker test"
"HP:0025132",2004,32,22,3,"Abnormal circulating estrogen level"
"HP:0004354",2004,587,381,3,"Abnormal circulating carboxylic acid concentration"
"HP:0003158",2004,9,9,3,"Hyposthenuria"
"HP:0030338",2004,182,90,3,"Abnormal circulating gonadotropin level"
"HP:0003256",2004,164447,13436,3,"Abnormality of the coagulation cascade"
"HP:0010987",2004,1203207,45611,3,"Abnormal cellular immune system morphology"
"HP:0025546",2004,192524,27504,3,"Abnormal mean corpuscular hemoglobin concentration"
"HP:0004352",2004,10285,2917,3,"Abnormal circulating purine concentration"
"HP:0002011",2004,9958,3293,3,"Morphological central nervous system abnormality"
"HP:0030352",2004,168,74,3,"Abnormal serum insulin-like growth factor 1 level"
"HP:0031508",2004,3797,1605,3,"Abnormal thyroid hormone level"
"HP:0012503",2004,6855,2730,3,"Abnormality of the pituitary gland"
"HP:0011043",2004,294,59,3,"Abnormality of circulating adrenocorticotropin level"
"HP:0011277",2004,3521,2054,3,"Abnormality of the urinary system physiology"
"HP:0100508",2004,126,100,3,"Abnormality of vitamin metabolism"
"HP:0032472",2004,877,729,3,"Abnormal urine urobilinogen level"
"HP:0410172",2004,77,24,3,"Blood xenobiotic"
"HP:0011013",2004,209,97,3,"Abnormal circulating carbohydrate concentration"
"HP:0011014",2004,157350,21336,3,"Abnormal glucose homeostasis"
"HP:0011733",2004,1486,566,3,"Abnormality of adrenal physiology"
"HP:0003111",2004,469250,27004,3,"Abnormal blood ion concentration"
"HP:0010876",2004,301954,19089,3,"Abnormal circulating protein level"
"HP:0012111",2004,1486,566,3,"Abnormality of circulating glucocorticoid level"
"HP:0003119",2004,43117,11497,3,"Abnormal circulating lipid concentration"
"HP:0031850",2004,441346,34515,3,"Abnormal hematocrit"
"HP:0011876",2004,103215,15566,3,"Abnormal platelet volume"
"HP:0012614",2004,428,373,3,"Abnormal urine cytology"
"HP:0011873",2004,149046,13572,3,"Abnormal platelet count"
"HP:0031209",2004,869,353,3,"Decreased lipoprotein lipase level"
"HP:0001901",2004,288,100,3,"Polycythemia"
"HP:0004370",2004,2,2,3,"Abnormality of temperature regulation"
"HP:0010929",2004,321746,24981,4,"Abnormal blood cation concentration"
"HP:0100529",2004,55069,7399,4,"Abnormal blood phosphate concentration"
"HP:0012603",2004,58,50,4,"Abnormal urine sodium concentration"
"HP:0001974",2004,168090,22639,4,"Leukocytosis"
"HP:0001899",2004,2995,1233,4,"Increased hematocrit"
