"termid","lab_year","n_record","n_patient","label","distancetoroot"
"HP:0002715",2012,8422676,171596,"Abnormality of the immune system",1
"HP:0002715",2013,9339891,189616,"Abnormality of the immune system",1
"HP:0002715",2014,11310078,258281,"Abnormality of the immune system",1
"HP:0002715",2015,14698328,343212,"Abnormality of the immune system",1
"HP:0002715",2016,15877117,385200,"Abnormality of the immune system",1
"HP:0002715",2017,14896800,386025,"Abnormality of the immune system",1
"HP:0002715",2018,14540623,403510,"Abnormality of the immune system",1
"HP:0002715",2019,14837111,406581,"Abnormality of the immune system",1
"HP:0002715",2020,7084080,196798,"Abnormality of the immune system",1
"HP:0002715",NA,217,23,"Abnormality of the immune system",1
"HP:0002717",2001,70,34,"Adrenal overactivity",4
"HP:0002717",2002,213,123,"Adrenal overactivity",4
"HP:0002717",2003,3906,1146,"Adrenal overactivity",4
"HP:0002717",2004,5080,1411,"Adrenal overactivity",4
"HP:0002717",2005,5632,1487,"Adrenal overactivity",4
"HP:0002717",2006,5294,1573,"Adrenal overactivity",4
"HP:0002717",2007,5708,1792,"Adrenal overactivity",4
"HP:0002717",2008,5137,1970,"Adrenal overactivity",4
"HP:0002717",2009,5821,2312,"Adrenal overactivity",4
"HP:0002717",2010,6728,2507,"Adrenal overactivity",4
"HP:0002717",2011,7294,2677,"Adrenal overactivity",4
"HP:0002717",2012,7879,3229,"Adrenal overactivity",4
"HP:0002717",2013,6438,2989,"Adrenal overactivity",4
"HP:0002717",2014,4576,2954,"Adrenal overactivity",4
"HP:0002717",2015,7047,4438,"Adrenal overactivity",4
"HP:0002717",2016,11618,5175,"Adrenal overactivity",4
"HP:0002717",2017,11715,5014,"Adrenal overactivity",4
"HP:0002717",2018,12838,5439,"Adrenal overactivity",4
"HP:0002717",2019,12971,5500,"Adrenal overactivity",4
"HP:0002717",2020,6369,2746,"Adrenal overactivity",4
"HP:0002720",2000,73,68,"Decreased circulating IgA level",6
"HP:0002720",2001,897,713,"Decreased circulating IgA level",6
"HP:0002720",2002,1165,910,"Decreased circulating IgA level",6
"HP:0002720",2003,3570,1486,"Decreased circulating IgA level",6
"HP:0002720",2004,3455,1605,"Decreased circulating IgA level",6
"HP:0002720",2005,3881,1648,"Decreased circulating IgA level",6
"HP:0002720",2006,4128,1917,"Decreased circulating IgA level",6
"HP:0002720",2007,5812,2810,"Decreased circulating IgA level",6
"HP:0002720",2008,8600,3289,"Decreased circulating IgA level",6
"HP:0002720",2009,10366,3876,"Decreased circulating IgA level",6
"HP:0002720",2010,18215,5928,"Decreased circulating IgA level",6
"HP:0002720",2011,21926,7121,"Decreased circulating IgA level",6
"HP:0002720",2012,26780,8461,"Decreased circulating IgA level",6
"HP:0002720",2013,28428,7749,"Decreased circulating IgA level",6
"HP:0002720",2014,38173,8900,"Decreased circulating IgA level",6
"HP:0002720",2015,51951,11545,"Decreased circulating IgA level",6
"HP:0002720",2016,70089,12519,"Decreased circulating IgA level",6
"HP:0002720",2017,76233,13967,"Decreased circulating IgA level",6
"HP:0002720",2018,79411,16337,"Decreased circulating IgA level",6
"HP:0002720",2019,80068,18109,"Decreased circulating IgA level",6
"HP:0002720",2020,29902,8010,"Decreased circulating IgA level",6
"HP:0002720",NA,1,1,"Decreased circulating IgA level",6
"HP:0002795",1936,1,1,"Functional respiratory abnormality",2
"HP:0002795",2000,10065,722,"Functional respiratory abnormality",2
"HP:0002795",2001,204358,32505,"Functional respiratory abnormality",2
"HP:0002795",2002,296478,47464,"Functional respiratory abnormality",2
"HP:0002795",2003,1198316,58050,"Functional respiratory abnormality",2
"HP:0002795",2004,1056443,53127,"Functional respiratory abnormality",2
"HP:0002795",2005,1522248,61984,"Functional respiratory abnormality",2
"HP:0002795",2006,1565015,70558,"Functional respiratory abnormality",2
"HP:0002795",2007,1599083,81573,"Functional respiratory abnormality",2
"HP:0002795",2008,1427809,87419,"Functional respiratory abnormality",2
"HP:0002795",2009,1567252,99740,"Functional respiratory abnormality",2
"HP:0002795",2010,1615179,116106,"Functional respiratory abnormality",2
"HP:0002795",2011,1791944,130638,"Functional respiratory abnormality",2
"HP:0002795",2012,1929132,148215,"Functional respiratory abnormality",2
"HP:0002795",2013,2070575,169969,"Functional respiratory abnormality",2
"HP:0002795",2014,2450889,226021,"Functional respiratory abnormality",2
"HP:0002795",2015,2962003,321645,"Functional respiratory abnormality",2
"HP:0002795",2016,3188504,364080,"Functional respiratory abnormality",2
"HP:0002795",2017,3124361,365040,"Functional respiratory abnormality",2
"HP:0002795",2018,3013861,384269,"Functional respiratory abnormality",2
"HP:0002795",2019,3033524,388530,"Functional respiratory abnormality",2
"HP:0002795",2020,1552621,189140,"Functional respiratory abnormality",2
"HP:0002795",NA,15,15,"Functional respiratory abnormality",2
"HP:0002843",1998,12,4,"Abnormal T cell morphology",4
"HP:0002843",1999,21,11,"Abnormal T cell morphology",4
"HP:0002843",2000,534,229,"Abnormal T cell morphology",4
"HP:0002843",2001,9717,1783,"Abnormal T cell morphology",4
"HP:0002843",2002,10145,1886,"Abnormal T cell morphology",4
"HP:0002843",2003,19936,2113,"Abnormal T cell morphology",4
"HP:0002843",2004,21168,2291,"Abnormal T cell morphology",4
"HP:0002843",2005,21454,2469,"Abnormal T cell morphology",4
"HP:0002843",2006,23562,2715,"Abnormal T cell morphology",4
"HP:0002843",2007,27668,3345,"Abnormal T cell morphology",4
"HP:0002843",2008,32045,3319,"Abnormal T cell morphology",4
"HP:0002843",2009,32079,3367,"Abnormal T cell morphology",4
"HP:0002843",2010,56335,5592,"Abnormal T cell morphology",4
"HP:0002843",2011,67248,5629,"Abnormal T cell morphology",4
"HP:0002843",2012,67246,5500,"Abnormal T cell morphology",4
"HP:0002843",2013,67935,5843,"Abnormal T cell morphology",4
"HP:0002843",2014,70284,9965,"Abnormal T cell morphology",4
"HP:0002843",2015,80939,13589,"Abnormal T cell morphology",4
"HP:0002843",2016,82166,13541,"Abnormal T cell morphology",4
"HP:0002843",2017,82131,13180,"Abnormal T cell morphology",4
"HP:0002843",2018,79264,13490,"Abnormal T cell morphology",4
"HP:0002843",2019,85520,13378,"Abnormal T cell morphology",4
"HP:0002843",2020,31154,7788,"Abnormal T cell morphology",4
"HP:0002843",NA,2,1,"Abnormal T cell morphology",4
"HP:0002850",2000,73,68,"Decreased circulating total IgM",6
"HP:0002850",2001,876,692,"Decreased circulating total IgM",6
"HP:0002850",2002,1108,847,"Decreased circulating total IgM",6
"HP:0002850",2003,3524,1428,"Decreased circulating total IgM",6
"HP:0002850",2004,3427,1551,"Decreased circulating total IgM",6
"HP:0002850",2005,3902,1620,"Decreased circulating total IgM",6
"HP:0002850",2006,4077,1863,"Decreased circulating total IgM",6
"HP:0002850",2007,5751,2731,"Decreased circulating total IgM",6
"HP:0002850",2008,8656,3249,"Decreased circulating total IgM",6
"HP:0002850",2009,10297,3807,"Decreased circulating total IgM",6
"HP:0002850",2010,15561,4792,"Decreased circulating total IgM",6
"HP:0002850",2011,19457,5174,"Decreased circulating total IgM",6
"HP:0002850",2012,23712,5902,"Decreased circulating total IgM",6
"HP:0002850",2013,26935,6877,"Decreased circulating total IgM",6
"HP:0002850",2014,36728,8142,"Decreased circulating total IgM",6
"HP:0002850",2015,48954,10013,"Decreased circulating total IgM",6
"HP:0002850",2016,61892,10673,"Decreased circulating total IgM",6
"HP:0002850",2017,64874,10518,"Decreased circulating total IgM",6
"HP:0002850",2018,67725,11622,"Decreased circulating total IgM",6
"HP:0002850",2019,69392,13394,"Decreased circulating total IgM",6
"HP:0002850",2020,25667,6360,"Decreased circulating total IgM",6
"HP:0002850",NA,1,1,"Decreased circulating total IgM",6
"HP:0002900",1936,1,1,"Hypokalemia",7
"HP:0002900",2000,914,570,"Hypokalemia",7
"HP:0002900",2001,117247,32387,"Hypokalemia",7
"HP:0002900",2002,183599,47235,"Hypokalemia",7
"HP:0002900",2003,680153,57785,"Hypokalemia",7
"HP:0002900",2004,618405,52988,"Hypokalemia",7
"HP:0002900",2005,789571,61622,"Hypokalemia",7
"HP:0002900",2006,825525,69982,"Hypokalemia",7
"HP:0002900",2007,929195,82100,"Hypokalemia",7
"HP:0002900",2008,756685,86682,"Hypokalemia",7
"HP:0002900",2009,811705,100162,"Hypokalemia",7
"HP:0002900",2010,893733,118081,"Hypokalemia",7
"HP:0002900",2011,983876,132886,"Hypokalemia",7
"HP:0002900",2012,1074194,151154,"Hypokalemia",7
"HP:0002900",2013,1194354,172913,"Hypokalemia",7
"HP:0002900",2014,1417644,226023,"Hypokalemia",7
"HP:0002900",2015,1838161,318860,"Hypokalemia",7
"HP:0002900",2016,2100231,361043,"Hypokalemia",7
"HP:0002900",2017,2021614,361688,"Hypokalemia",7
"HP:0002900",2018,1997486,380269,"Hypokalemia",7
"HP:0002900",2019,2030304,384077,"Hypokalemia",7
"HP:0002900",2020,1051462,186709,"Hypokalemia",7
"HP:0002900",NA,15,15,"Hypokalemia",7
"HP:0002901",2000,2964,1384,"Hypocalcemia",7
"HP:0002901",2001,80006,28157,"Hypocalcemia",7
"HP:0002901",2002,130519,41677,"Hypocalcemia",7
"HP:0002901",2003,430051,50794,"Hypocalcemia",7
"HP:0002901",2004,378883,44357,"Hypocalcemia",7
"HP:0002901",2005,466797,52046,"Hypocalcemia",7
"HP:0002901",2006,520860,60939,"Hypocalcemia",7
"HP:0002901",2007,605200,72036,"Hypocalcemia",7
"HP:0002901",2008,510918,74582,"Hypocalcemia",7
"HP:0002901",2009,554532,85725,"Hypocalcemia",7
"HP:0002901",2010,633808,103153,"Hypocalcemia",7
"HP:0002901",2011,830700,122665,"Hypocalcemia",7
"HP:0002901",2012,936502,138820,"Hypocalcemia",7
"HP:0002901",2013,1056466,161189,"Hypocalcemia",7
"HP:0002901",2014,1266918,215300,"Hypocalcemia",7
"HP:0002901",2015,1707505,312717,"Hypocalcemia",7
"HP:0002901",2016,2013467,357783,"Hypocalcemia",7
"HP:0002901",2017,1937502,358429,"Hypocalcemia",7
"HP:0002901",2018,1923669,376611,"Hypocalcemia",7
"HP:0002901",2019,1991059,380882,"Hypocalcemia",7
"HP:0002901",2020,1011226,186723,"Hypocalcemia",7
"HP:0002901",NA,11,11,"Hypocalcemia",7
"HP:0002902",1936,1,1,"Hyponatremia",7
"HP:0002902",2000,1913,447,"Hyponatremia",7
"HP:0002902",2001,126253,32097,"Hyponatremia",7
"HP:0002902",2002,193337,46558,"Hyponatremia",7
"HP:0002902",2003,295368,55149,"Hyponatremia",7
"HP:0002902",2004,294320,49917,"Hyponatremia",7
"HP:0002902",2005,324152,55940,"Hyponatremia",7
"HP:0002902",2006,324901,61942,"Hyponatremia",7
"HP:0002902",2007,405453,76473,"Hyponatremia",7
"HP:0002902",2008,431355,77745,"Hyponatremia",7
"HP:0002902",2009,463009,88948,"Hyponatremia",7
"HP:0002902",2010,515826,106159,"Hyponatremia",7
"HP:0002902",2011,573761,120326,"Hyponatremia",7
"HP:0002902",2012,616287,137386,"Hyponatremia",7
"HP:0002902",2013,666466,158758,"Hyponatremia",7
"HP:0002902",2014,813485,212344,"Hyponatremia",7
"HP:0002902",2015,1160381,306232,"Hyponatremia",7
"HP:0002902",2016,1243130,348707,"Hyponatremia",7
"HP:0002902",2017,1244681,350980,"Hyponatremia",7
"HP:0002902",2018,1343646,371215,"Hyponatremia",7
"HP:0002902",2019,1312058,376214,"Hyponatremia",7
"HP:0002902",2020,744269,185405,"Hyponatremia",7
"HP:0002902",NA,14,14,"Hyponatremia",7
"HP:0002904",1936,1,1,"Hyperbilirubinemia",3
"HP:0002904",2000,4171,1853,"Hyperbilirubinemia",3
"HP:0002904",2001,97857,26724,"Hyperbilirubinemia",3
"HP:0002904",2002,138286,37404,"Hyperbilirubinemia",3
"HP:0002904",2003,516671,50408,"Hyperbilirubinemia",3
"HP:0002904",2004,510131,45416,"Hyperbilirubinemia",3
"HP:0002904",2005,644912,51687,"Hyperbilirubinemia",3
"HP:0002904",2006,702008,60052,"Hyperbilirubinemia",3
"HP:0002904",2007,861433,71087,"Hyperbilirubinemia",3
"HP:0002904",2008,749358,76721,"Hyperbilirubinemia",3
"HP:0002904",2009,808471,89273,"Hyperbilirubinemia",3
"HP:0002904",2010,898348,105849,"Hyperbilirubinemia",3
"HP:0002904",2011,916778,118641,"Hyperbilirubinemia",3
"HP:0002904",2012,980450,136573,"Hyperbilirubinemia",3
"HP:0002904",2013,1092975,158445,"Hyperbilirubinemia",3
"HP:0002904",2014,1244873,202577,"Hyperbilirubinemia",3
"HP:0002904",2015,1532242,280017,"Hyperbilirubinemia",3
"HP:0002904",2016,1713931,319737,"Hyperbilirubinemia",3
"HP:0002904",2017,1601092,310964,"Hyperbilirubinemia",3
"HP:0002904",2018,1539376,318626,"Hyperbilirubinemia",3
"HP:0002904",2019,1630760,323868,"Hyperbilirubinemia",3
"HP:0002904",2020,871657,159457,"Hyperbilirubinemia",3
"HP:0002904",NA,19,10,"Hyperbilirubinemia",3
"HP:0002905",2000,1571,665,"Hyperphosphatemia",5
"HP:0002905",2001,39832,11089,"Hyperphosphatemia",5
"HP:0002905",2002,55608,13978,"Hyperphosphatemia",5
"HP:0002905",2003,281352,20550,"Hyperphosphatemia",5
"HP:0002905",2004,275816,21158,"Hyperphosphatemia",5
"HP:0002905",2005,325368,22272,"Hyperphosphatemia",5
"HP:0002905",2006,342084,25174,"Hyperphosphatemia",5
"HP:0002905",2007,387495,28830,"Hyperphosphatemia",5
"HP:0002905",2008,276664,24888,"Hyperphosphatemia",5
"HP:0002905",2009,286763,25696,"Hyperphosphatemia",5
"HP:0002905",2010,308517,28187,"Hyperphosphatemia",5
"HP:0002905",2011,293199,27307,"Hyperphosphatemia",5
"HP:0002905",2012,290686,26822,"Hyperphosphatemia",5
"HP:0002905",2013,309535,28702,"Hyperphosphatemia",5
"HP:0002905",2014,345563,34940,"Hyperphosphatemia",5
"HP:0002905",2015,412547,45954,"Hyperphosphatemia",5
"HP:0002905",2016,443048,48184,"Hyperphosphatemia",5
"HP:0002905",2017,471237,50185,"Hyperphosphatemia",5
"HP:0002905",2018,477709,50337,"Hyperphosphatemia",5
"HP:0002905",2019,503889,52234,"Hyperphosphatemia",5
"HP:0002905",2020,273812,29769,"Hyperphosphatemia",5
"HP:0002905",NA,10,10,"Hyperphosphatemia",5
"HP:0002907",2003,18705,11064,"Microscopic hematuria",5
"HP:0002907",2004,19150,10950,"Microscopic hematuria",5
"HP:0002907",2005,19687,10902,"Microscopic hematuria",5
"HP:0002907",2006,20327,11373,"Microscopic hematuria",5
"HP:0002907",2007,21488,11878,"Microscopic hematuria",5
"HP:0002907",2008,27345,14634,"Microscopic hematuria",5
"HP:0002907",2009,32767,19307,"Microscopic hematuria",5
"HP:0002907",2010,43681,23572,"Microscopic hematuria",5
"HP:0002907",2011,61144,26088,"Microscopic hematuria",5
"HP:0002907",2012,69420,29747,"Microscopic hematuria",5
"HP:0002907",2013,83056,36025,"Microscopic hematuria",5
"HP:0002907",2014,106900,52058,"Microscopic hematuria",5
"HP:0002907",2015,155463,83118,"Microscopic hematuria",5
"HP:0002907",2016,192034,95454,"Microscopic hematuria",5
"HP:0002907",2017,146309,71100,"Microscopic hematuria",5
"HP:0002907",2018,115816,53317,"Microscopic hematuria",5
"HP:0002907",2019,141219,69708,"Microscopic hematuria",5
"HP:0002907",2020,58802,33224,"Microscopic hematuria",5
"HP:0002910",2000,4383,1900,"Elevated hepatic transaminase",5
"HP:0002910",2001,119621,27713,"Elevated hepatic transaminase",5
"HP:0002910",2002,178876,38407,"Elevated hepatic transaminase",5
"HP:0002910",2003,581583,47647,"Elevated hepatic transaminase",5
"HP:0002910",2004,557451,43149,"Elevated hepatic transaminase",5
"HP:0002910",2005,682513,49425,"Elevated hepatic transaminase",5
"HP:0002910",2006,753467,58003,"Elevated hepatic transaminase",5
"HP:0002910",2007,910482,68167,"Elevated hepatic transaminase",5
"HP:0002910",2008,789042,71872,"Elevated hepatic transaminase",5
"HP:0002910",2009,870755,84367,"Elevated hepatic transaminase",5
"HP:0002910",2010,991396,100182,"Elevated hepatic transaminase",5
"HP:0002910",2011,1120054,113388,"Elevated hepatic transaminase",5
"HP:0002910",2012,1257868,130525,"Elevated hepatic transaminase",5
"HP:0002910",2013,1454090,152766,"Elevated hepatic transaminase",5
"HP:0002910",2014,1675548,195438,"Elevated hepatic transaminase",5
"HP:0002910",2015,2129431,271709,"Elevated hepatic transaminase",5
"HP:0002910",2016,2212685,255901,"Elevated hepatic transaminase",5
"HP:0002910",2017,2001330,240737,"Elevated hepatic transaminase",5
"HP:0002910",2018,1945750,255601,"Elevated hepatic transaminase",5
"HP:0002910",2019,2066648,264667,"Elevated hepatic transaminase",5
"HP:0002910",2020,1114351,134152,"Elevated hepatic transaminase",5
"HP:0002910",NA,20,10,"Elevated hepatic transaminase",5
"HP:0002912",2001,3,3,"Methylmalonic acidemia",5
"HP:0002912",2003,235,164,"Methylmalonic acidemia",5
"HP:0002912",2004,152,98,"Methylmalonic acidemia",5
"HP:0002912",2005,255,178,"Methylmalonic acidemia",5
"HP:0002912",2006,324,203,"Methylmalonic acidemia",5
"HP:0002912",2007,313,187,"Methylmalonic acidemia",5
"HP:0002912",2008,558,490,"Methylmalonic acidemia",5
"HP:0002912",2009,845,764,"Methylmalonic acidemia",5
"HP:0002912",2010,1846,1006,"Methylmalonic acidemia",5
"HP:0002912",2011,2020,1142,"Methylmalonic acidemia",5
"HP:0002912",2012,2224,1261,"Methylmalonic acidemia",5
"HP:0002912",2013,2223,1312,"Methylmalonic acidemia",5
"HP:0002912",2014,3143,1909,"Methylmalonic acidemia",5
"HP:0002912",2015,4062,2596,"Methylmalonic acidemia",5
"HP:0002912",2016,4188,2648,"Methylmalonic acidemia",5
"HP:0002912",2017,3526,2512,"Methylmalonic acidemia",5
"HP:0002912",2018,3349,2816,"Methylmalonic acidemia",5
"HP:0002912",2019,3475,3002,"Methylmalonic acidemia",5
"HP:0002912",2020,1161,1081,"Methylmalonic acidemia",5
"HP:0002914",2003,5711,1884,"Hyperchloriduria",5
"HP:0002914",2004,4451,2127,"Hyperchloriduria",5
"HP:0002914",2005,8173,2519,"Hyperchloriduria",5
"HP:0002914",2006,8891,2867,"Hyperchloriduria",5
"HP:0002914",2007,8864,2949,"Hyperchloriduria",5
"HP:0002914",2008,5473,3136,"Hyperchloriduria",5
"HP:0002914",2009,5884,3278,"Hyperchloriduria",5
"HP:0002914",2010,5693,3340,"Hyperchloriduria",5
"HP:0002914",2011,6036,3538,"Hyperchloriduria",5
"HP:0002914",2012,5686,3381,"Hyperchloriduria",5
"HP:0002914",2013,5619,3457,"Hyperchloriduria",5
"HP:0002914",2014,5553,3428,"Hyperchloriduria",5
"HP:0002914",2015,4733,2976,"Hyperchloriduria",5
"HP:0002914",2016,3222,2054,"Hyperchloriduria",5
"HP:0002914",2017,2967,1873,"Hyperchloriduria",5
"HP:0002914",2018,2355,1669,"Hyperchloriduria",5
"HP:0002914",2019,3377,2227,"Hyperchloriduria",5
"HP:0002914",2020,2003,1340,"Hyperchloriduria",5
"HP:0002917",2003,186989,17282,"Hypomagnesemia",7
"HP:0002917",2004,154944,18728,"Hypomagnesemia",7
"HP:0002917",2005,228511,20269,"Hypomagnesemia",7
"HP:0002917",2006,249535,22488,"Hypomagnesemia",7
"HP:0002917",2007,256541,24591,"Hypomagnesemia",7
"HP:0002917",2008,143679,22779,"Hypomagnesemia",7
"HP:0002917",2009,152479,23786,"Hypomagnesemia",7
"HP:0002917",2010,165146,26025,"Hypomagnesemia",7
"HP:0002917",2011,162967,25814,"Hypomagnesemia",7
"HP:0002917",2012,170502,26001,"Hypomagnesemia",7
"HP:0002917",2013,181604,27893,"Hypomagnesemia",7
"HP:0002917",2014,221352,38024,"Hypomagnesemia",7
"HP:0002917",2015,321962,59018,"Hypomagnesemia",7
"HP:0002917",2016,340600,62909,"Hypomagnesemia",7
"HP:0002917",2017,346748,60478,"Hypomagnesemia",7
"HP:0002917",2018,334159,53814,"Hypomagnesemia",7
"HP:0002917",2019,363567,57777,"Hypomagnesemia",7
"HP:0002917",2020,162987,28751,"Hypomagnesemia",7
"HP:0002918",2003,186989,17282,"Hypermagnesemia",7
"HP:0002918",2004,154944,18728,"Hypermagnesemia",7
"HP:0002918",2005,228511,20269,"Hypermagnesemia",7
"HP:0002918",2006,249535,22488,"Hypermagnesemia",7
"HP:0002918",2007,256541,24591,"Hypermagnesemia",7
"HP:0002918",2008,143679,22779,"Hypermagnesemia",7
"HP:0002918",2009,152479,23786,"Hypermagnesemia",7
"HP:0002918",2010,165146,26025,"Hypermagnesemia",7
"HP:0002918",2011,162967,25814,"Hypermagnesemia",7
"HP:0002918",2012,170502,26001,"Hypermagnesemia",7
"HP:0002918",2013,181604,27893,"Hypermagnesemia",7
"HP:0002918",2014,221352,38024,"Hypermagnesemia",7
"HP:0002918",2015,321962,59018,"Hypermagnesemia",7
"HP:0002918",2016,340600,62909,"Hypermagnesemia",7
"HP:0002918",2017,346748,60478,"Hypermagnesemia",7
"HP:0002918",2018,334159,53814,"Hypermagnesemia",7
"HP:0002918",2019,363567,57777,"Hypermagnesemia",7
"HP:0002918",2020,162987,28751,"Hypermagnesemia",7
"HP:0002919",2003,42298,16592,"Ketonuria",3
"HP:0002919",2004,38060,15949,"Ketonuria",3
"HP:0002919",2005,50052,15468,"Ketonuria",3
"HP:0002919",2006,49277,16025,"Ketonuria",3
"HP:0002919",2007,50166,16977,"Ketonuria",3
"HP:0002919",2008,42982,21506,"Ketonuria",3
"HP:0002919",2009,42010,23223,"Ketonuria",3
"HP:0002919",2010,45948,25897,"Ketonuria",3
"HP:0002919",2011,59623,33627,"Ketonuria",3
"HP:0002919",2012,114764,54533,"Ketonuria",3
"HP:0002919",2013,135190,63897,"Ketonuria",3
"HP:0002919",2014,116196,59133,"Ketonuria",3
"HP:0002919",2015,98934,57798,"Ketonuria",3
"HP:0002919",2016,116218,70577,"Ketonuria",3
"HP:0002919",2017,88332,50098,"Ketonuria",3
"HP:0002919",2018,72123,33352,"Ketonuria",3
"HP:0002919",2019,83810,39043,"Ketonuria",3
"HP:0002919",2020,29979,16181,"Ketonuria",3
"HP:0002920",2000,6,5,"Decreased circulating ACTH level",4
"HP:0002920",2001,116,65,"Decreased circulating ACTH level",4
"HP:0002920",2002,212,90,"Decreased circulating ACTH level",4
"HP:0002920",2003,553,124,"Decreased circulating ACTH level",4
"HP:0002920",2004,620,162,"Decreased circulating ACTH level",4
"HP:0002920",2005,272,83,"Decreased circulating ACTH level",4
"HP:0002920",2006,588,147,"Decreased circulating ACTH level",4
"HP:0002920",2007,835,227,"Decreased circulating ACTH level",4
"HP:0002920",2008,1001,350,"Decreased circulating ACTH level",4
"HP:0002920",2009,1756,557,"Decreased circulating ACTH level",4
"HP:0002920",2010,1745,605,"Decreased circulating ACTH level",4
"HP:0002920",2011,2160,730,"Decreased circulating ACTH level",4
"HP:0002920",2012,2508,888,"Decreased circulating ACTH level",4
"HP:0002920",2013,2575,991,"Decreased circulating ACTH level",4
"HP:0002920",2014,3137,1326,"Decreased circulating ACTH level",4
"HP:0002920",2015,4154,1766,"Decreased circulating ACTH level",4
"HP:0002920",2016,4428,1941,"Decreased circulating ACTH level",4
"HP:0002920",2017,3952,2047,"Decreased circulating ACTH level",4
"HP:0002920",2018,3770,2310,"Decreased circulating ACTH level",4
"HP:0002920",2019,1945,1649,"Decreased circulating ACTH level",4
"HP:0002920",2020,644,591,"Decreased circulating ACTH level",4
"HP:0002921",2000,132,52,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2001,1480,507,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2002,1825,606,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2003,11441,971,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2004,10712,916,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2005,11225,1045,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2006,9120,968,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2007,10290,1098,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2008,8885,1090,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2009,8504,1055,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2010,7766,972,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2011,8553,1005,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2012,7642,959,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2013,5828,821,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2014,7400,1012,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2015,7664,1335,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2016,7449,1452,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2017,7952,1442,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2018,7335,1292,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2019,8971,1399,"Abnormality of the cerebrospinal fluid",4
"HP:0002921",2020,3361,587,"Abnormality of the cerebrospinal fluid",4
"HP:0002922",2000,66,51,"Increased CSF protein",6
"HP:0002922",2001,733,493,"Increased CSF protein",6
"HP:0002922",2002,905,593,"Increased CSF protein",6
"HP:0002922",2003,4082,947,"Increased CSF protein",6
"HP:0002922",2004,3896,885,"Increased CSF protein",6
"HP:0002922",2005,4005,1002,"Increased CSF protein",6
"HP:0002922",2006,3203,919,"Increased CSF protein",6
"HP:0002922",2007,3755,1051,"Increased CSF protein",6
"HP:0002922",2008,2992,1046,"Increased CSF protein",6
"HP:0002922",2009,2806,999,"Increased CSF protein",6
"HP:0002922",2010,2469,918,"Increased CSF protein",6
"HP:0002922",2011,2656,951,"Increased CSF protein",6
"HP:0002922",2012,2455,924,"Increased CSF protein",6
"HP:0002922",2013,1943,783,"Increased CSF protein",6
"HP:0002922",2014,2401,970,"Increased CSF protein",6
"HP:0002922",2015,2854,1298,"Increased CSF protein",6
"HP:0002922",2016,2835,1412,"Increased CSF protein",6
"HP:0002922",2017,3028,1403,"Increased CSF protein",6
"HP:0002922",2018,2693,1243,"Increased CSF protein",6
"HP:0002922",2019,3164,1340,"Increased CSF protein",6
"HP:0002922",2020,1181,540,"Increased CSF protein",6
"HP:0002923",2000,16,15,"Rheumatoid factor positive",5
"HP:0002923",2001,156,145,"Rheumatoid factor positive",5
"HP:0002923",2002,198,173,"Rheumatoid factor positive",5
"HP:0002923",2003,1241,721,"Rheumatoid factor positive",5
"HP:0002923",2004,1140,798,"Rheumatoid factor positive",5
"HP:0002923",2005,1498,883,"Rheumatoid factor positive",5
"HP:0002923",2006,1598,937,"Rheumatoid factor positive",5
"HP:0002923",2007,2320,1230,"Rheumatoid factor positive",5
"HP:0002923",2008,3048,1932,"Rheumatoid factor positive",5
"HP:0002923",2009,4034,2345,"Rheumatoid factor positive",5
"HP:0002923",2010,4371,2584,"Rheumatoid factor positive",5
"HP:0002923",2011,4823,2933,"Rheumatoid factor positive",5
"HP:0002923",2012,5240,3386,"Rheumatoid factor positive",5
"HP:0002923",2013,6532,3969,"Rheumatoid factor positive",5
"HP:0002923",2014,8037,4538,"Rheumatoid factor positive",5
"HP:0002923",2015,9330,5191,"Rheumatoid factor positive",5
"HP:0002923",2016,5857,4850,"Rheumatoid factor positive",5
"HP:0002923",2017,4114,3507,"Rheumatoid factor positive",5
"HP:0002923",2018,3566,2937,"Rheumatoid factor positive",5
"HP:0002923",2019,3962,3336,"Rheumatoid factor positive",5
"HP:0002923",2020,1293,1142,"Rheumatoid factor positive",5
"HP:0002925",2000,1364,1296,"Increased thyroid-stimulating hormone level",5
"HP:0002925",2001,13057,10394,"Increased thyroid-stimulating hormone level",5
"HP:0002925",2002,16268,12757,"Increased thyroid-stimulating hormone level",5
